time,lambda_left_fx,lambda_left_fy,lambda_left_fz,lambda_right_fx,lambda_right_fy,lambda_right_fz
4.76837158203125e-07,-8.624261560566168,-8.62426156056617,10.0,8.624261560566168,8.62426156056617,-7.095
0.030925273895263672,-8.624245885869522,-8.624245885869522,10.0,8.624245885869522,8.624245885869522,-7.095
0.0723879337310791,10.0,-10.0,6.555797979746354,-10.0,10.0,-3.650797979746354
0.11098742485046387,-0.048742902300685925,-0.01659379758902073,0.02463752610456389,0.0,0.0,0.0
0.15248727798461914,2.525421008864356,-2.5254210088643556,10.0,-2.525421008864356,2.5254210088643556,-7.095
0.18808197975158691,-1.9222930737679775,1.9222930737679778,10.0,1.9222930737679775,-1.9222930737679778,-7.095
0.23333287239074707,0.5619582120157063,0.9555447621943006,0.2748779172998024,0.0,0.0,0.0
0.2845020294189453,-60.73788602308712,-40.54524065986647,167.87216256071088,0.0,0.0,0.0
0.32993030548095703,10.0,10.0,1.4277870175688552,-10.0,-10.0,1.4772129824311448
0.3867216110229492,0.7599150422585339,-36.98534487775594,24.337453277698337,0.0,0.0,0.0
0.4903843402862549,-10.0,-10.0,3.025414551945593,10.0,10.0,-0.12041455194559163
0.5350968837738037,3.319611989701194,10.0,10.0,-3.319611989701196,-10.0,-7.095
0.5793697834014893,10.0,10.0,10.0,-10.0,-10.0,-7.095
0.6346969604492188,-48.36613608793406,-87.43510750609254,319.5234073569473,0.0,0.0,0.0
0.670950174331665,2.6075523084459924,10.0,10.0,-2.607552308445991,-10.0,-7.095
0.7134139537811279,-5.738497885009164,10.0,10.0,5.7384978850091635,-10.0,-7.095
0.745823860168457,10.0,-10.0,2.525215740181796,-10.0,10.0,0.37978425981820396
0.7907586097717285,45.86039203035894,89.44917082208221,103.54284774177995,0.0,0.0,0.0
0.8407015800476074,-99.80627992250933,-154.64214450780352,167.51057738525657,0.0,0.0,0.0
0.8830547332763672,10.0,10.0,0.5811798933725103,-10.0,-10.0,2.32382010662749
0.930046558380127,-2.8989598094362092,2.8989598094362097,10.0,2.8989598094362092,-2.8989598094362097,-7.095
0.977114200592041,10.0,-10.0,2.596626921118493,-10.0,10.0,0.30837307888150683
1.028731107711792,-10.0,10.0,-0.3905928047770168,10.0,-10.0,3.2955928047770167
1.067260980606079,10.0,10.0,-1.8897558628313953,-10.0,-10.0,4.794755862831396
1.116544246673584,-10.0,-10.0,2.266809210464356,10.0,10.0,0.6381907895356441
1.155456304550171,10.0,10.0,-7.095,-10.0,-10.0,10.0
1.2069497108459473,-10.0,10.0,-1.82638309614733,10.0,-10.0,4.731383096147331
1.2559912204742432,10.0,-10.0,-0.24349449205382795,-10.0,10.0,3.1484944920538283
1.2938027381896973,-10.0,10.0,1.5980094968091243,10.0,-10.0,1.306990503190876
1.3378159999847412,10.0,10.0,-5.996465913367386,-10.0,-10.0,8.901465913367389
1.388737678527832,-10.0,-10.0,6.506918977595077,10.0,10.0,-3.601918977595077
1.4349355697631836,-0.5520694241468196,-0.5118615812619876,10.0,0.5520694241468196,0.5118615812619876,-7.095
1.4814801216125488,-5.0038128907829575,-5.003812890782958,-7.095,5.0038128907829575,5.003812890782958,10.0
1.5231921672821045,10.0,10.0,-7.095,-10.0,-10.0,10.0
1.568002700805664,10.0,-10.0,3.277426739440732,-10.0,10.0,-0.37242673944073174
1.6127915382385254,10.0,10.0,-1.9355003058384552,-10.0,-10.0,4.840500305838456
1.6532142162322998,-10.0,10.0,8.403189127576372,10.0,-10.0,-5.498189127576372
1.6946852207183838,10.0,-10.0,0.0777540468072117,-10.0,10.0,2.8272459531927883
1.7412776947021484,2.2470830854348254,10.0,-7.095,-2.2470830854348254,-10.0,10.0
1.7841546535491943,10.0,10.0,-2.3210920477943926,-10.0,-10.0,5.226092047794394
1.8161725997924805,-10.0,-10.0,2.4150744506022837,10.0,10.0,0.4899255493977163
1.854588270187378,-10.0,10.0,10.0,10.0,-10.0,-7.095
1.903550624847412,10.0,10.0,10.0,-10.0,-10.0,-7.095
1.946953296661377,8.636866569085269,-10.0,-7.095,-8.636866569085269,10.0,10.0
1.993342399597168,1.9933217227668258,-10.0,10.0,-1.9933217227668258,10.0,-7.095
2.039708137512207,-10.0,10.0,0.49469273074380765,10.0,-10.0,2.410307269256193
2.0834455490112305,-10.0,-10.0,-3.028067376918758,10.0,10.0,5.933067376918759
2.1341910362243652,-10.0,-10.0,4.384708316783081,10.0,10.0,-1.4797083167830793
2.1763648986816406,10.0,10.0,1.3192287222311292,-10.0,-10.0,1.5857712777688708
2.2192747592926025,3.9420211179101425,-10.0,10.0,-3.942021117910141,10.0,-7.095
2.262213706970215,10.0,-10.0,-0.5041197720311211,-10.0,10.0,3.4091197720311217
2.2988357543945312,-10.0,10.0,1.3390553890087993,10.0,-10.0,1.565944610991201
2.3404381275177,-0.28674918652922926,-0.28674918652922926,-7.095,0.28674918652922926,0.28674918652922926,10.0
2.379650115966797,-10.0,-10.0,4.123575840775932,10.0,10.0,-1.2185758407759335
2.4127559661865234,10.0,10.0,2.1074541748384656,-10.0,-10.0,0.7975458251615347
2.4562509059906006,-9.999999999999998,10.0,8.620917275927324,9.999999999999998,-10.0,-5.715917275927324
2.4987974166870117,10.0,-10.0,0.42986332773186575,-10.0,10.0,2.4751366722681345
2.534313440322876,-10.0,10.0,-6.254088646703723,10.0,-10.0,9.159088646703726
2.5711169242858887,10.0,10.0,-2.3724849316238603,-10.0,-10.0,5.277484931623861
2.609238862991333,-10.0,-10.0,2.749050128376192,10.0,10.0,0.1559498716238084
2.6695287227630615,2.4926404864405556,2.492640486440557,10.0,-2.4926404864405556,-2.492640486440557,-7.095
2.7069921493530273,-10.0,10.0,3.762382551127604,10.0,-10.0,-0.8573825511276038
2.75140380859375,10.0,-10.0,2.0536863263127265,-10.0,10.0,0.851313673687274
2.786123275756836,-10.0,-10.0,9.279521782883213,10.0,10.0,-6.374521782883209
2.827176809310913,10.0,10.0,-1.1877104161373149,-10.0,-10.0,4.092710416137314
2.870034694671631,-10.0,-10.0,0.9882859128735473,10.0,10.0,1.9167140871264534
2.9140853881835938,10.0,-10.0,-0.8149913728670196,-10.0,10.0,3.7199913728670193
2.9540364742279053,-10.0,10.0,1.60479546446331,10.0,-10.0,1.3002045355366902
2.994157075881958,1.1596531344092402,-1.1596531344092402,10.0,-1.1596531344092402,1.1596531344092402,-7.095
3.036311149597168,-10.0,-10.0,4.373978530706226,10.0,10.0,-1.4689785307062264
3.0807268619537354,10.0,10.0,1.5940229823403547,-10.0,-10.0,1.3109770176596458
3.1245474815368652,-10.0,10.0,7.683657755934581,10.0,-10.0,-4.778657755934582
3.1702263355255127,10.0,-10.0,0.44119414427395043,-10.0,10.0,2.46380585572605
3.2117390632629395,-10.0,10.0,-5.120725142800299,10.0,-10.0,8.0257251428003
3.2614169120788574,10.0,10.0,-2.3777678148685966,-10.0,-10.0,5.282767814868596
3.30350399017334,-10.0,-10.0,2.6977831564366794,10.0,10.0,0.20721684356331999
3.3486342430114746,3.078956034699906,3.0789560346999054,10.0,-3.078956034699906,-3.0789560346999054,-7.095
3.383240222930908,-10.0,10.0,3.7953990826909956,10.0,-10.0,-0.8903990826909958
3.4298832416534424,10.0,-10.0,2.0061774904352867,-10.0,10.0,0.8988225095647134
3.4785356521606445,-10.0,-10.0,9.923495387436667,10.0,10.0,-7.018495387436664
3.5063581466674805,10.0,10.0,-1.2532927115661905,-10.0,-10.0,4.158292711566192
3.5406134128570557,-10.0,-10.0,-6.514084411402876,10.0,10.0,9.419084411402883
3.596224784851074,10.0,-10.0,5.910153398056989,-10.0,10.0,-3.0051533980569896
3.644223213195801,-10.0,10.0,2.170005345137814,10.0,-10.0,0.7349946548621867
3.6837828159332275,-10.0,-10.0,0.07483363008922259,10.0,10.0,2.8301663699107773
3.725071430206299,-10.0,-10.0,7.3902312371044525,10.0,10.0,-4.485231237104451
3.76051926612854,10.0,10.0,0.6708524660569597,-10.0,-10.0,2.23414753394304
3.806027412414551,5.95968898941684,-10.0,10.0,-5.959688989416842,10.0,-7.095
3.8517208099365234,10.0,-10.0,-0.6849878723861617,-10.0,10.0,3.5899878723861622
3.8996615409851074,-10.0,10.0,1.648342946919457,10.0,-10.0,1.256657053080543
3.950637102127075,-4.923948192894357,-10.0,-7.095,4.923948192894356,10.0,10.0
3.996774435043335,-10.0,-10.0,4.139360311211221,10.0,10.0,-1.2343603112112211
4.043611764907837,10.0,10.0,1.2457664691984074,-10.0,-10.0,1.659233530801593
4.089795351028442,3.8245872396088108,-10.0,10.0,-3.8245872396088094,10.0,-7.095
